eth.src,eth.dst,ip.src,ip.dst,frame.len,frame.time_delta,frame.time_relative
"16:b8:cd:56:e2:0f","33:33:00:00:00:02",,,"70","0.000000000","0.000000000"
"46:54:09:27:34:55","33:33:00:00:00:02",,,"70","2.047587000","2.047587000"
"ba:6d:32:2d:99:be","33:33:00:00:00:02",,,"70","0.000965000","2.048552000"
"ba:e6:72:e9:41:20","33:33:00:00:00:02",,,"70","0.000124000","2.048676000"
"5e:0b:e0:99:87:5b","33:33:00:00:00:02",,,"70","2.047075000","4.095751000"
"1a:c1:41:8e:91:8e","33:33:00:00:00:02",,,"70","0.000070000","4.095821000"
"2a:4f:3a:d2:1d:b4","33:33:00:00:00:02",,,"70","2.047133000","6.142954000"
"3a:dc:2b:d4:a2:b6","33:33:00:00:00:02",,,"70","2.048008000","8.190962000"
"32:4a:68:ce:e6:a8","33:33:00:00:00:02",,,"70","4.097440000","12.288402000"
"86:d5:0e:51:3a:4c","33:33:00:00:00:02",,,"70","0.000084000","12.288486000"
"2a:4f:3a:d2:1d:b4","ff:ff:ff:ff:ff:ff",,,"42","9.566738000","21.855224000"
"32:4a:68:ce:e6:a8","2a:4f:3a:d2:1d:b4",,,"42","0.003179000","21.858403000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","125.166.104.122","10.0.0.8","54","0.000013000","21.858416000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","253.38.171.186","10.0.0.8","54","0.097001000","21.955417000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","1.188.17.6","10.0.0.8","54","0.100222000","22.055639000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","27.31.181.190","10.0.0.8","54","0.100188000","22.155827000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","137.48.253.195","10.0.0.8","54","0.100212000","22.256039000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","72.6.166.64","10.0.0.8","54","0.100207000","22.356246000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","154.121.1.38","10.0.0.8","54","0.100178000","22.456424000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","195.30.119.30","10.0.0.8","54","0.100207000","22.556631000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","54.2.163.245","10.0.0.8","54","0.100168000","22.656799000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","167.115.137.6","10.0.0.8","54","0.100201000","22.757000000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","122.139.195.90","10.0.0.8","54","0.100209000","22.857209000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","102.130.122.6","10.0.0.8","54","0.100199000","22.957408000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","190.50.186.153","10.0.0.8","54","0.100165000","23.057573000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","100.174.186.100","10.0.0.8","54","0.100170000","23.157743000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","100.52.104.87","10.0.0.8","54","0.100143000","23.257886000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","222.12.38.112","10.0.0.8","54","0.100153000","23.358039000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","230.202.230.22","10.0.0.8","54","0.100160000","23.458199000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","139.162.199.167","10.0.0.8","54","0.100188000","23.558387000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","142.137.251.169","10.0.0.8","54","0.100166000","23.658553000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","117.198.119.187","10.0.0.8","54","0.100190000","23.758743000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","129.190.129.100","10.0.0.8","54","0.100235000","23.858978000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","190.54.187.137","10.0.0.8","54","0.100187000","23.959165000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","102.147.222.235","10.0.0.8","54","0.100165000","24.059330000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","109.243.105.251","10.0.0.8","54","0.100193000","24.159523000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","71.183.161.248","10.0.0.8","54","0.100205000","24.259728000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","87.218.108.90","10.0.0.8","54","0.100227000","24.359955000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","186.255.86.195","10.0.0.8","54","0.100258000","24.460213000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","139.181.80.86","10.0.0.8","54","0.100210000","24.560423000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","21.11.140.63","10.0.0.8","54","0.100217000","24.660640000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","142.166.133.77","10.0.0.8","54","0.100190000","24.760830000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","6.27.38.199","10.0.0.8","54","0.100218000","24.861048000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","112.100.225.31","10.0.0.8","54","0.100245000","24.961293000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","252.162.64.0","10.0.0.8","54","0.100227000","25.061520000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","165.252.110.6","10.0.0.8","54","0.100222000","25.161742000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","225.173.98.6","10.0.0.8","54","0.100245000","25.261987000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","86.72.6.96","10.0.0.8","54","0.100201000","25.362188000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","110.177.167.191","10.0.0.8","54","0.100198000","25.462386000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","98.235.203.214","10.0.0.8","54","0.100175000","25.562561000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","96.38.245.250","10.0.0.8","54","0.100161000","25.662722000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","169.0.205.169","10.0.0.8","54","0.100227000","25.762949000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","251.12.119.48","10.0.0.8","54","0.100166000","25.863115000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","85.125.129.44","10.0.0.8","54","0.100201000","25.963316000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","98.87.31.217","10.0.0.8","54","0.100213000","26.063529000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","139.134.140.109","10.0.0.8","54","0.100188000","26.163717000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","243.2.137.117","10.0.0.8","54","0.100183000","26.263900000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","205.230.245.50","10.0.0.8","54","0.100193000","26.364093000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","154.208.77.253","10.0.0.8","54","0.100256000","26.464349000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","177.228.50.195","10.0.0.8","54","0.100211000","26.564560000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","143.236.116.43","10.0.0.8","54","0.100201000","26.664761000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","87.163.181.76","10.0.0.8","54","0.100176000","26.764937000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","222.104.165.203","10.0.0.8","54","0.100161000","26.865098000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","177.177.137.208","10.0.0.8","54","0.100179000","26.965277000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","156.95.77.28","10.0.0.8","54","0.100199000","27.065476000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","136.121.36.178","10.0.0.8","54","0.100200000","27.165676000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","205.246.103.243","10.0.0.8","54","0.100145000","27.265821000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","147.105.145.61","10.0.0.8","54","0.100170000","27.365991000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","250.248.94.131","10.0.0.8","54","0.100197000","27.466188000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","86.165.104.0","10.0.0.8","54","0.100130000","27.566318000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","64.38.145.253","10.0.0.8","54","0.100154000","27.666472000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","187.59.252.70","10.0.0.8","54","0.100180000","27.766652000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","30.125.37.198","10.0.0.8","54","0.100157000","27.866809000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","147.154.30.69","10.0.0.8","54","0.100166000","27.966975000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","110.177.125.100","10.0.0.8","54","0.100186000","28.067161000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","113.200.131.104","10.0.0.8","54","0.100172000","28.167333000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","94.199.102.62","10.0.0.8","54","0.100209000","28.267542000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","203.173.31.120","10.0.0.8","54","0.100228000","28.367770000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","214.113.217.136","10.0.0.8","54","0.100193000","28.467963000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","93.186.150.6","10.0.0.8","54","0.100228000","28.568191000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","49.63.142.230","10.0.0.8","54","0.100240000","28.668431000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","195.182.205.48","10.0.0.8","54","0.100216000","28.768647000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","113.190.252.134","10.0.0.8","54","0.100259000","28.868906000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","251.174.122.31","10.0.0.8","54","0.100207000","28.969113000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","109.246.110.195","10.0.0.8","54","0.100239000","29.069352000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","243.235.113.0","10.0.0.8","54","0.100180000","29.169532000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","202.52.63.69","10.0.0.8","54","0.100217000","29.269749000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","150.160.114.72","10.0.0.8","54","0.100170000","29.369919000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","113.111.208.162","10.0.0.8","54","0.100207000","29.470126000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","154.236.186.189","10.0.0.8","54","0.100152000","29.570278000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","111.32.252.50","10.0.0.8","54","0.100169000","29.670447000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","195.254.143.143","10.0.0.8","54","0.100160000","29.770607000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","183.245.1.182","10.0.0.8","54","0.100160000","29.870767000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","251.87.222.100","10.0.0.8","54","0.100206000","29.970973000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","78.144.253.211","10.0.0.8","54","0.100175000","30.071148000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","190.129.181.217","10.0.0.8","54","0.100200000","30.171348000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","156.217.166.113","10.0.0.8","54","0.100205000","30.271553000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","87.245.120.69","10.0.0.8","54","0.100208000","30.371761000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","137.6.48.235","10.0.0.8","54","0.100200000","30.471961000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","156.139.30.251","10.0.0.8","54","0.100236000","30.572197000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","129.104.115.28","10.0.0.8","54","0.100178000","30.672375000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","156.61.218.144","10.0.0.8","54","0.100154000","30.772529000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","195.62.116.53","10.0.0.8","54","0.100123000","30.872652000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","69.254.44.32","10.0.0.8","54","0.100169000","30.972821000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","1.11.248.113","10.0.0.8","54","0.100192000","31.073013000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","30.186.30.100","10.0.0.8","54","0.100163000","31.173176000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","59.147.249.186","10.0.0.8","54","0.100153000","31.273329000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","51.137.6.95","10.0.0.8","54","0.100214000","31.373543000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","218.28.102.62","10.0.0.8","54","0.100210000","31.473753000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","38.65.76.189","10.0.0.8","54","0.100181000","31.573934000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","12.11.36.252","10.0.0.8","54","0.100155000","31.674089000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","160.81.161.94","10.0.0.8","54","0.100184000","31.774273000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","65.98.64.1","10.0.0.8","54","0.100136000","31.874409000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","188.222.250.105","10.0.0.8","54","0.100153000","31.974562000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","62.133.61.70","10.0.0.8","54","0.100177000","32.074739000"
